entity_id,stratum,period,hclass,has_role_b,pop_n,sample_n,weight
as1-63b175a916a3751d#4,1948-1963|F|role,1948-1963,F,role,6926,25,277.04
as1-538aa96139b82d6a#2,1948-1963|N|role,1948-1963,N,role,34482,25,1379.28
as1-45cbf1d88506e1dd#2,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-210d8de11e761db2#8,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-e70ab2b5baf04591#35,1933-1945|N|role,1933-1945,N,role,29947,25,1197.88
as1-82e701306ee61ad4#2,1948-1963|M|norole,1948-1963,M,norole,11211,25,448.44
as1-8742f3703c6ff9dd#4,1900-1915|N|norole,1900-1915,N,norole,190443,25,7617.72
as1-ade9936959ddc273#11,1900-1915|M|norole,1900-1915,M,norole,12323,25,492.92
as1-8fc581a3d9d15450#1,1933-1945|F|role,1933-1945,F,role,5572,25,222.88
as1-7287b89e609a736b#26,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-0b6deb507fa46928#0,1933-1945|M|role,1933-1945,M,role,1796,25,71.84
as1-77a059cbc5c6de4f#4,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-980c7e517900e2d9#1,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-a8f7d9e25a767f06#8,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-ae1ae19fbbdcac46#0,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-2fe34480ae7bbfef#1,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
