entity_id,stratum,period,hclass,has_role_b,pop_n,sample_n,weight
as1-b8b55561245b40bb#6,1948-1963|M|norole,1948-1963,M,norole,11211,25,448.44
as1-addf8540b7b57df7#2,1918-1930|M|role,1918-1930,M,role,1439,25,57.56
as1-0df8a33776717476#0,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-0ce46742ed16d150#18,1900-1915|N|norole,1900-1915,N,norole,190443,25,7617.72
as1-5d255b659592fb9d#0,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-59fd5744d04715ee#3,1948-1963|N|role,1948-1963,N,role,34482,25,1379.28
as1-453e7ea3ba107afc#9,1900-1915|N|role,1900-1915,N,role,29026,25,1161.04
as1-3adb3a04ace113a5#10,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
as1-6b23ba7438d431d6#3,1933-1945|F|norole,1933-1945,F,norole,36949,25,1477.96
as1-82d63c6fc0e80458#6,1933-1945|M|role,1933-1945,M,role,1796,25,71.84
as1-f8db49f2a5c4b637#12,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-445efccbc666b555#15,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-147d35b08bad4402#15,1900-1915|F|norole,1900-1915,F,norole,27280,25,1091.2
as1-76233ed1d929e641#26,1948-1963|N|role,1948-1963,N,role,34482,25,1379.28
as1-efd545f7139616eb#26,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-2a993f5df95505a5#1,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
as1-2f76e2f7e308ad1a#5,1918-1930|N|role,1918-1930,N,role,25598,25,1023.92
as1-5d9926187cf1ef51#2,1900-1915|N|role,1900-1915,N,role,29026,25,1161.04
as1-424bae979fcd4141#1,1933-1945|M|norole,1933-1945,M,norole,6736,25,269.44
as1-d80fc73c39d0592c#1,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-2c6c7ecb2ce8c251#0,1918-1930|M|role,1918-1930,M,role,1439,25,57.56
as1-d114f08bd1fc196e#0,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-56488246e5ca3645#8,1918-1930|M|norole,1918-1930,M,norole,7060,25,282.4
as1-308aca0572492e2e#3,1948-1963|M|norole,1948-1963,M,norole,11211,25,448.44
as1-e5cd7da56e8893e3#17,1918-1930|F|role,1918-1930,F,role,4328,25,173.12
as1-8edd175fd9edf63b#1,1918-1930|F|role,1918-1930,F,role,4328,25,173.12
as1-fd028bad2313b83b#4,1933-1945|N|norole,1933-1945,N,norole,175732,25,7029.28
as1-9a44d0ed95f94602#1,1900-1915|F|role,1900-1915,F,role,3076,25,123.04
as1-1dd4bb9badf39b64#1,1918-1930|M|norole,1918-1930,M,norole,7060,25,282.4
as1-e4a58e1d78744db9#0,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-ed8658888e7de603#1,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-15d4551c86b3d98c#12,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
as1-55f30123d4e9fceb#1,1948-1963|F|norole,1948-1963,F,norole,49313,25,1972.52
as1-aa9acfb66afc609e#2,1933-1945|N|role,1933-1945,N,role,29947,25,1197.88
as1-01923cb0cf5965c0#4,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
as1-cf356b96e44f9f5f#7,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-31b6157add95632c#11,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-71c8f4decb4f4a5f#4,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-36dcd5bf0f436065#7,1900-1915|N|norole,1900-1915,N,norole,190443,25,7617.72
as1-88d285e5064b54c6#2,1933-1945|N|role,1933-1945,N,role,29947,25,1197.88
as1-28928e03d1061493#6,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-c5fa8bff1e7ac110#7,1918-1930|F|role,1918-1930,F,role,4328,25,173.12
as1-121639b28fea0fef#3,1933-1945|N|role,1933-1945,N,role,29947,25,1197.88
as1-b610118985089782#2,1948-1963|M|role,1948-1963,M,role,3094,25,123.76
as1-e0b32268775ef88d#3,1948-1963|N|norole,1948-1963,N,norole,209811,25,8392.44
as1-5b8cf6080436ce88#4,1933-1945|M|role,1933-1945,M,role,1796,25,71.84
as1-e911d09d32e134bd#18,1918-1930|N|norole,1918-1930,N,norole,155693,25,6227.72
as1-01f742e8b98f3192#11,1933-1945|F|role,1933-1945,F,role,5572,25,222.88
as1-f93f6854be166bf6#5,1918-1930|F|norole,1918-1930,F,norole,32471,25,1298.84
as1-44567adba5ba7eb5#0,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-28fca8aa230f18ea#12,1933-1945|N|norole,1933-1945,N,norole,175732,25,7029.28
as1-7194b5e8cb97721c#0,1900-1915|N|role,1900-1915,N,role,29026,25,1161.04
as1-5817c6ddfc379c11#2,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
as1-16b4f2c22307b41c#0,1900-1915|M|role,1900-1915,M,role,2033,25,81.32
